"Id","Result","Notes","Evidence"
"TC-001","Pass","Local backend up; Flyway applied 24 migrations (v24); health UP","{""application"":""finance-platform"",""status"":""UP""}"
"TC-002","Pass","Login page HTTP 200; refresh keeps valid route","status=200; bytes=419"
"TC-003","Pass","Same-origin via ng proxy: /api/v1 on :4200 reaches backend","proxy={""application"":""finance-platform"",""status"":""UP""}; loginStatus=422"
"TC-004","Pass","Prod rejects APP_JWT_SECRET=change-me","To honour the JVM settings for this build a single-use Daemon process will be forked. For more on this, please refer to https://docs.gradle.org/9.5.1/userguide/gradle_daemon.html#sec:disabling_the_daemon in the Gradle documentation.
Daemon will be stopped at the end of the build 
> Task :platform-core:compileJava UP-TO-DATE
> Task :platform-core:processResources NO-SOURCE
> Task :platform-core:classes UP-TO-DATE
> Task :platform-core:jar UP-TO-DATE
> Task :module-auth:compileJava UP-TO-DATE
> Task :module-auth:processResources NO-SOURCE
> Task :module-auth:classes UP-TO-DATE
> Task :module-auth:jar UP-TO-DATE
> Task :module-finance:compileJava UP-TO-DATE
> Task :module-finance:processResources NO-SOURCE
> Task :module-finance:classes UP-TO-DATE
> Task :module-finance:jar UP-TO-DATE
> Task :module-ai:compileJava UP-TO-DATE
> Task :module-ai:processResources NO-SOURCE
> Task :module-ai:classes UP-TO-DATE
> Task :module-ai:jar UP-TO-DATE
> Task :module-reporting:compileJava UP-TO-DATE
> Task :module-reporting:processResources NO-SOURCE
> Task :module-reporting:classes UP-TO-DATE
> Task :module-reporting:jar UP-TO-DATE
> Task :platform-app:compileJava UP-TO-DATE
> Task :platform-app:processResources
> Task :platform-app:classes
> Task :platform-app:resolveMainClassName

> Task :platform-app:bootRun

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v4.1.0)

2026-09-03 17:09:54,001 INFO  [main] c.f.p.FinancePlatformApplication - Starting FinancePlatformApplication using Java 17.0.20.1 with PID 8416 (C:\Users\HP\Downloads\finance-ai-automation-platform\backend\platform-app\build\classes\java\main started by HP in C:\Users\HP\Downloads\finance-ai-automation-platform\backend\platform-app)
2026-09-03 17:09:54,017 INFO  [main] c.f.p.FinancePlatformApplication - The following 1 profile is active: ""prod""
2026-09-03 17:09:57,258 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-09-03 17:09:57,755 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 448 ms. Found 27 JPA repository interfaces.
2026-09-03 17:10:01,992 INFO  [main] o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 18081 (http)
2026-09-03 17:10:02,055 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-09-03 17:10:02,055 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.22]
2026-09-03 17:10:02,243 INFO  [main] o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 8087 ms
2026-09-03 17:10:02,776 ERROR [main] o.s.b.t.s.DeferredServletContainerInitializers - Error starting Tomcat context. Exception: org.springframework.beans.factory.UnsatisfiedDependencyException. Message: Error creating bean with name 'jwtAuthenticationFilter' defined in URL [jar:file:/C:/Users/HP/Downloads/finance-ai-automation-platform/backend/module-auth/build/libs/module-auth-0.0.1-SNAPSHOT.jar!/com/finance/platform/auth/infrastructure/security/JwtAuthenticationFilter.class]: Unsatisfied dependency expressed through constructor parameter 0: Error creating bean with name 'jwtTokenProvider' defined in URL [jar:file:/C:/Users/HP/Downloads/finance-ai-automation-platform/backend/module-auth/build/libs/module-auth-0.0.1-SNAPSHOT.jar!/com/finance/platform/auth/infrastructure/security/JwtTokenProvider.class]: Failed to instantiate [com.finance.platform.auth.infrastructure.security.JwtTokenProvider]: Constructor threw exception
2026-09-03 17:10:02,905 INFO  [main] o.a.catalina.core.StandardService - Stopping service [Tomcat]
2026-09-03 17:10:02,946 WARN  [main] o.s.b.w.s.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Unable to start web server
2026-09-03 17:10:02,968 INFO  [main] o.s.b.a.l.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2026-09-03 17:10:03,020 ERROR [main] o.s.boot.SpringApplication - Application run failed
org.springframework.context.ApplicationContextException: Unable to start web server
	at org.springframework.boot.web.server.servlet.context.ServletWebServerApplicationContext.onRefresh(ServletWebServerApplicationContext.java:167)
	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:615)
	at org.springframework.boot.web.server.servlet.context.ServletWebServerApplicationContext.refresh(ServletWebServerApplicationContext.java:143)
	at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:756)
	at org.springframework.boot.SpringApplication.refreshContext(SpringApplication.java:445)
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:321)
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1365)
	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1354)
	at com.finance.platform.FinancePlatformApplication.main(FinancePlatformApplication.java:16)
Caused by: org.springframework.boot.web.server.WebServerException: Unable to start embedded Tomcat
	at org.springframework.boot.tomcat.TomcatWebServer.initialize(TomcatWebServer.java:150)
	at org.springframework.boot.tomcat.TomcatWebServer.<init>(TomcatWebServer.java:110)
	at org.springframework.boot.tomcat.servlet.TomcatServletWebServerFactory.getTomcatWebServer(TomcatServletWebServerFactory.java:429)
	at org.springframework.boot.tomcat.servlet.TomcatServletWebServerFactory.getWebServer(TomcatServletWebServerFactory.java:167)
	at org.springframework.boot.web.server.servlet.context.ServletWebServerApplicationContext.createWebServer(ServletWebServerApplicationContext.java:190)
	at org.springframework.boot.web.server.servlet.context.ServletWebServerApplicationContext.onRefresh(ServletWebServerApplicationContext.java:164)
	... 8 common frames omitted
Caused by: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'jwtAuthenticationFilter' defined in URL [jar:file:/C:/Users/HP/Downloads/finance-ai-automation-platform/backend/module-auth/build/libs/module-auth-0.0.1-SNAPSHOT.jar!/com/finance/platform/auth/infrastructure/security/JwtAuthenticationFilter.class]: Unsatisfied dependency expressed through constructor parameter 0: Error creating bean with name 'jwtTokenProvider' defined in URL [jar:file:/C:/Users/HP/Downloads/finance-ai-automation-platform/backend/module-auth/build/libs/module-auth-0.0.1-SNAPSHOT.jar!/com/finance/platform/auth/infrastructure/security/JwtTokenProvider.class]: Failed to instantiate [com.finance.platform.auth.infrastructure.security.JwtTokenProvider]: Constructor threw exception
	at org.springframework.beans.factory.support.ConstructorResolver.createArgumentArray(ConstructorResolver.java:804)
	at org.springframework.beans.factory.support.ConstructorResolver.autowireConstructor(ConstructorResolver.java:240)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.autowireConstructor(AbstractAutowireCapableBeanFactory.java:1380)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBeanInstance(AbstractAutowireCapableBeanFactory.java:1219)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:565)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:525)
	at org.springframework.beans.factory.support.AbstractBeanFactory.lambda$doGetBean$0(AbstractBeanFactory.java:333)
	at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:371)
	at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:331)
	at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:201)
	at org.springframework.boot.web.servlet.ServletContextInitializerBeans.getOrderedBeansOfType(ServletContextInitializerBeans.java:231)
	at org.springframework.boot.web.servlet.ServletContextInitializerBeans.addAsRegistrationBean(ServletContextInitializerBeans.java:185)
	at org.springframework.boot.web.servlet.ServletContextInitializerBeans.addAsRegistrationBean(ServletContextInitializerBeans.java:180)
	at org.springframework.boot.web.servlet.ServletContextInitializerBeans.addAdaptableBeans(ServletContextInitializerBeans.java:165)
	at org.springframework.boot.web.servlet.ServletContextInitializerBeans.<init>(ServletContextInitializerBeans.java:97)
	at org.springframework.boot.web.context.servlet.WebApplicationContextInitializer.initialize(WebApplicationContextInitializer.java:53)
	at org.springframework.boot.tomcat.servlet.DeferredServletContainerInitializers.onStartup(DeferredServletContainerInitializers.java:55)
	at org.apache.catalina.core.StandardContext.startInternal(StandardContext.java:4420)
	at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:164)
	at org.apache.catalina.core.ContainerBase$StartChild.call(ContainerBase.java:1162)
	at org.apache.catalina.core.ContainerBase$StartChild.call(ContainerBase.java:1158)
	at java.base/java.util.concurrent.FutureTask.run(FutureTask.java:264)
	at org.apache.tomcat.util.threads.InlineExecutorService.execute(InlineExecutorService.java:81)
	at java.base/java.util.concurrent.AbstractExecutorService.submit(AbstractExecutorService.java:145)
	at org.apache.catalina.core.ContainerBase.startInternal(ContainerBase.java:714)
	at org.apache.catalina.core.StandardHost.startInternal(StandardHost.java:780)
	at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:164)
	at org.apache.catalina.core.ContainerBase$StartChild.call(ContainerBase.java:1162)
	at org.apache.catalina.core.ContainerBase$StartChild.call(ContainerBase.java:1158)
	at java.base/java.util.concurrent.FutureTask.run(FutureTask.java:264)
	at org.apache.tomcat.util.threads.InlineExecutorService.execute(InlineExecutorService.java:81)
	at java.base/java.util.concurrent.AbstractExecutorService.submit(AbstractExecutorService.java:145)
	at org.apache.catalina.core.ContainerBase.startInternal(ContainerBase.java:714)
	at org.apache.catalina.core.StandardEngine.startInternal(StandardEngine.java:201)
	at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:164)
	at org.apache.catalina.core.StandardService.startInternal(StandardService.java:410)
	at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:164)
	at org.apache.catalina.core.StandardServer.startInternal(StandardServer.java:864)
	at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:164)
	at org.apache.catalina.startup.Tomcat.start(Tomcat.java:435)
	at org.springframework.boot.tomcat.TomcatWebServer.initialize(TomcatWebServer.java:131)
	... 13 common frames omitted
Caused by: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'jwtTokenProvider' defined in URL [jar:file:/C:/Users/HP/Downloads/finance-ai-automation-platform/backend/module-auth/build/libs/module-auth-0.0.1-SNAPSHOT.jar!/com/finance/platform/auth/infrastructure/security/JwtTokenProvider.class]: Failed to instantiate [com.finance.platform.auth.infrastructure.security.JwtTokenProvider]: Constructor threw exception
	at org.springframework.beans.factory.support.ConstructorResolver.instantiate(ConstructorResolver.java:321)
	at org.springframework.beans.factory.support.ConstructorResolver.autowireConstructor(ConstructorResolver.java:309)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.autowireConstructor(AbstractAutowireCapableBeanFactory.java:1380)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBeanInstance(AbstractAutowireCapableBeanFactory.java:1219)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:565)
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:525)
	at org.springframework.beans.factory.support.AbstractBeanFactory.lambda$doGetBean$0(AbstractBeanFactory.java:333)
	at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:371)
	at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:331)
	at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:201)
	at org.springframework.beans.factory.config.DependencyDescriptor.resolveCandidate(DependencyDescriptor.java:229)
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.doResolveDependency(DefaultListableBeanFactory.java:1769)
	at org.springframework.beans.factory.support.DefaultListableBeanFactory.resolveDependency(DefaultListableBeanFactory.java:1658)
	at org.springframework.beans.factory.support.ConstructorResolver.resolveAutowiredArgument(ConstructorResolver.java:912)
	at org.springframework.beans.factory.support.ConstructorResolver.createArgumentArray(ConstructorResolver.java:791)
	... 53 common frames omitted
Caused by: org.springframework.beans.BeanInstantiationException: Failed to instantiate [com.finance.platform.auth.infrastructure.security.JwtTokenProvider]: Constructor threw exception
	at org.springframework.beans.BeanUtils.instantiateClass(BeanUtils.java:220)
	at org.springframework.beans.factory.support.SimpleInstantiationStrategy.instantiate(SimpleInstantiationStrategy.java:129)
	at org.springframework.beans.factory.support.ConstructorResolver.instantiate(ConstructorResolver.java:318)
	... 67 common frames omitted
Caused by: io.jsonwebtoken.security.WeakKeyException: The specified key byte array is 72 bits which is not secure enough for any JWT HMAC-SHA algorithm.  The JWT JWA Specification (RFC 7518, Section 3.2) states that keys used with HMAC-SHA algorithms MUST have a size >= 256 bits (the key size must be greater than or equal to the hash output size).  Consider using the Jwts.SIG.HS256.key() builder (or HS384.key() or HS512.key()) to create a key guaranteed to be secure enough for your preferred HMAC-SHA algorithm.  See https://tools.ietf.org/html/rfc7518#section-3.2 for more information.
	at io.jsonwebtoken.security.Keys.hmacShaKeyFor(Keys.java:83)
	at com.finance.platform.auth.infrastructure.security.JwtTokenProvider.<init>(JwtTokenProvider.java:26)
	at java.base/jdk.internal.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)
	at java.base/jdk.internal.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:77)
	at java.base/jdk.internal.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45)
	at java.base/java.lang.reflect.Constructor.newInstanceWithCaller(Constructor.java:500)
	at java.base/java.lang.reflect.Constructor.newInstance(Constructor.java:481)
	at org.springframework.beans.BeanUtils.instantiateClass(BeanUtils.java:207)
	... 69 common frames omitted

> Task :platform-app:bootRun FAILED
gradlew.bat : 
At line:11 char:3
+   & .\gradlew.bat :platform-app:bootRun --no-daemon *> $out
+   ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
FAILURE: Build failed with an exception.

* What went wrong:
Execution failed for task ':platform-app:bootRun' (registered by plugin 'org.springframework.boot').
> Process 'command 'C:\Program Files\Eclipse Adoptium\jdk-17.0.20.101-hotspot\bin\java.exe'' finished with non-zero 
exit value 1

* Try:
> Run with --stacktrace option to get the stack trace.
> Run with --info or --debug option to get more log output.
> Run with --scan to get full insights from a Build Scan (powered by Develocity).
> Get more help at https://help.gradle.org.

BUILD FAILED in 59s
14 actionable tasks: 3 executed, 11 up-to-date
"
"TC-005","Pass","Swagger on locally; prod defaults springdoc off","swagger=302; docs=200"
"TC-006","Pass","Health exposes only safe keys","{""application"":""finance-platform"",""status"":""UP""} | {""application"":""finance-platform"",""status"":""READY""}"
"TC-007","Fail","status=500","{""detail"":""An unexpected error occurred."",""instance"":""/api/v1/does-not-exist"",""status"":500,""title"":""Internal Server Error"",""errorCode"":""INTERNAL_ERROR""}"
"TC-008","Pass","Malformed JSON -> 400 controlled error","{""detail"":""Request body is malformed or contains invalid values."",""instance"":""/api/v1/clients"",""status"":400,""title"":""Validation Failed"",""errorCode"":""VALIDATION_FAILED""}"
"TC-009","Pass","Page size clamped to <=100","size=100"
"TC-010","Pass","X-Request-ID stored on audit_log.correlation_id (not echoed in HTTP/logs by design)","db=manual-qa-001; login=200"
